,회사명,종목코드
0,DSR,155660
1,GS,78930
2,GS글로벌,1250
3,HDC현대산업개발,294870
4,LG이노텍,11070
5,LG전자,66570
6,LG헬로비전,37560
7,OCI,10060
8,S&TC,100840
9,S&T모티브,64960
10,SK이노베이션,96770
11,SK케미칼,285130
12,STX,11810
13,WISCOM,24070
14,YG PLUS,37270
15,갤럭시아에스엠,11420
16,고려아연,10130
17,국보,1140
18,극동유화,14530
19,까뮤이앤씨,13700
20,넷마블,251270
21,대덕,8060
22,대덕전자,353200
23,대영포장,14160
24,대한해운,5880
25,동아쏘시오홀딩스,640
26,두산,150
27,락앤락,115390
28,마니커,27740
29,메리츠증권,8560
30,모두투어리츠,204210
31,부국증권,1270
32,삼성SDI,6400
33,삼성바이오로직스,207940
34,삼성출판사,68290
35,삼성화재해상보험,810
36,삼양식품,3230
37,삼양홀딩스,70
38,삼영전자공업,5680
39,삼영화학공업,3720
40,상상인증권,1290
41,선도전기,7610
42,선진,136490
43,세방전지,4490
44,세원셀론텍,91090
45,신한알파리츠,293940
46,신한지주,55550
47,에넥스,11090
48,에스원,12750
49,영화금속,12280
50,윌비스,8600
51,유나이티드,33270
52,인지컨트롤스,23800
53,인터지스,129260
54,일성건설,13360
55,일진다이아,81000
56,제일약품,271980
57,제일연마,1560
58,제일파마홀딩스,2620
59,조흥,2600
60,지역난방공사,71320
61,진도,88790
62,코오롱머티리얼,144620
63,코오롱인더,120110
64,키다리스튜디오,20120
65,태경산업,15890
66,태양금속공업,4100
67,포스코강판,58430
68,필룩스,33180
69,한국공항,5430
70,한국종합기술,23350
71,한국철강,104700
72,한국패러랠,168490
73,한라홀딩스,60980
74,한미사이언스,8930
75,한미약품,128940
76,한솔로지스틱스,9180
77,한일철강,2220
78,한일현대시멘트,6390
79,한창제지,9460
80,한화생명,88350
81,한화시스템,272210
82,현대건설,720
83,현대건설기계,267270
84,현대모비스,12330
85,현대비앤지스틸,4560
86,현대엘리베이터,17800
87,현대중공업지주,267250
88,현대차증권,1500
89,현대홈쇼핑,57050
90,호전실업,111110
91,호텔신라,8770
92,CJ프레시웨이,51500
93,EDGC,245620
94,GH신소재,130500
95,GST,83450
96,GS홈쇼핑,28150
97,IBKS제13호스팩,351340
98,ITX엠투엠,99520
99,JW신약,67290
100,KB오토시스,24120
101,KG모빌리언스,46440
102,KH바텍,60720
103,SK5호스팩,337450
104,SK6호스팩,340350
105,THE E&M,89230
106,TJ미디어,32540
107,YW,51390
108,갤럭시아컴즈,94480
109,경남바이오파마,44480
110,경창산업,24910
111,고려시멘트,198440
112,골프존,215000
113,교보8호스팩,307280
114,국순당,43650
115,그리티,204020
116,나노브릭,286750
117,나스미디어,89600
118,네오티스,85910
119,네이처셀,7390
120,녹십자셀,31390
121,뉴인텍,12340
122,뉴프렉스,85670
123,대봉엘에스,78140
124,대유에이피,290120
125,대주산업,3310
126,대한약품,23910
127,동구바이오제약,6620
128,동방선기,99410
129,디에이피,66900
130,디엔에이링크,127120
131,디엔에프,92070
132,디오,39840
133,디지틀조선,33130
134,디케이앤디,263020
135,라이트론,69540
136,루미마이크로,82800
137,룽투코리아,60240
138,링크제니시스,219420
139,마이크로텍,227950
140,매일홀딩스,5990
141,메디톡스,86900
142,메이슨캐피탈,21880
143,메탈라이프,327260
144,모비스,250060
145,모트렉스,118990
146,미래SCI,28040
147,미스터블루,207760
148,바디텍메드,206640
149,바이넥스,53030
150,삼보판지,23600
151,삼본전자,111870
152,삼아제약,9300
153,상지카일룸,42940
154,서암기계공업,100660
155,성창오토텍,80470
156,세보엠이씨,11560
157,세종메디칼,258830
158,세코닉스,53450
159,셀루메드,49180
160,셀바스헬스케어,208370
161,스페코,13810
162,승일,49830
163,심텍,222800
164,싸이토젠,217330
165,쌍용정보통신,10280
166,씨유메디칼,115480
167,씨케이에이치,900120
168,아나패스,123860
169,아바텍,149950
170,아이센스,99190
171,아이씨디,40910
172,아이씨케이,68940
173,아이원스,114810
174,아이즈비전,31310
175,아이티센,124500
176,알리코제약,260660
177,알에프세미,96610
178,알에프텍,61040
179,알테오젠,196170
180,에스아이리소스,65420
181,에스코넥,96630
182,에쎈테크,43340
183,에이루트,96690
184,에이티넘인베스트,21080
185,에코프로비엠,247540
186,엑시콘,92870
187,엔피케이,48830
188,엘앤케이바이오,156100
189,엠게임,58630
190,엠벤처투자,19590
191,엠씨넥스,97520
192,영화테크,265560
193,오공,45060
194,오픈베이스,49480
195,옵티시스,109080
196,와이지-원,19210
197,우리바이오,82850
198,원익QnC,74600
199,원익큐브,14190
200,원풍물산,8290
201,웨이브일렉트로,95270
202,웰크론,65950
203,위지트,36090
204,유니온커뮤니티,203450
205,유니테크노,241690
206,유비쿼스홀딩스,78070
207,유신,54930
208,유안타제5호스팩,336060
209,유진스팩5호,331380
210,유테크,178780
211,유티아이,179900
212,이스트소프트,47560
213,이엠넷,123570
214,이지바이오,353810
215,이지웰,90850
216,인베니아,79950
217,인텍플러스,64290
218,자비스,254120
219,자이글,234920
220,정상제이엘에스,40420
221,제놀루션,225220
222,제우스,79370
223,제이엠티,94970
224,제이웨이,58420
225,제일제강,23440
226,제주반도체,80220
227,젬백스,82270
228,조아제약,34940
229,주성엔지니어링,36930
230,지엔씨에너지,119850
231,지엔코,65060
232,캐스텍코리아,71850
233,케이비제20호스팩,342550
234,케이피엠테크,42040
235,케이피티유,54410
236,켄코아에어로스페이스,274090
237,코렌,78650
238,코스온,69110
239,코윈테크,282880
240,코프라,126600
241,키네마스터,139670
242,토탈소프트,45340
243,투비소프트,79970
244,트루윈,105550
245,특수건설,26150
246,티앤알바이오팹,246710
247,티에스이,131290
248,파세코,37070
249,파커스,65690
250,판타지오,32800
251,패션플랫폼,225590
252,푸드웰,5670
253,프로스테믹스,203690
254,피델릭스,32580
255,피에스엠씨,24850
256,하나금융15호스팩,341160
257,하이즈항공,221840
258,한국맥널티,222980
259,한국코퍼레이션,50540
260,한양디지텍,78350
261,한일진공,123840
262,한일화학,7770
263,해덕파워웨이,102210
264,화성밸브,39610
265,휴맥스,115160
266,나눔테크,244880
267,다원넥스뷰,323350
268,다이오진,271850
269,선바이오,67370
270,시그넷이브이,260870
271,에듀파트너,208890
272,에스알바이오텍,270210
273,에스케이씨에스,224020
274,에프앤가이드,64850
275,엘리비젼,276240
276,유투바이오,221800
277,이도바이오,336040
278,인카금융서비스,211050
279,전우정밀,120780
280,지놈앤컴퍼니,314130
281,진코스텍,250030
282,큐엠씨,136660
283,티티씨디펜스,309900
284,파워풀엑스,266870
285,폭스소프트,354230
286,BGF리테일,282330
287,CJ CGV,79160
288,CJ대한통운,120
289,GKL,114090
290,GS건설,6360
291,HDC현대EP,89470
292,JW홀딩스,96760
293,KB금융,105560
294,SG충방,1380
295,SKC,11790
296,금강공업,14280
297,금호산업,2990
298,금호전기,1210
299,기업은행,24110
300,남선알미늄,8350
301,남성,4270
302,대구백화점,6370
303,대우건설,47040
304,대원제약,3220
305,대한방직,1070
306,대한제강,84010
307,대한제당,1790
308,대현,16090
309,덕양산업,24900
310,동원금속,18500
311,두산인프라코어,42670
312,디씨엠,24090
313,디티알오토모티브,7340
314,롯데손해보험,400
315,롯데칠성음료,5300
316,만도,204320
317,미래에셋생명,85620
318,미원홀딩스,107590
319,백산,35150
320,보락,2760
321,사조대림,3960
322,사조동아원,8040
323,삼부토건,1470
324,서원,21050
325,세방,4360
326,세아홀딩스,58650
327,세이브존I&C,67830
328,신송홀딩스,6880
329,신일전자,2700
330,써니전자,4770
331,아이마켓코리아,122900
332,아이에이치큐,3560
333,에이블씨엔씨,78520
334,엔씨소프트,36570
335,영보화학,14440
336,영진약품,3520
337,영풍,670
338,예스코홀딩스,15360
339,유니온,910
340,유니온머티리얼,47400
341,유유제약,220
342,유한양행,100
343,이마트,139480
344,이수화학,5950
345,이스타코,15020
346,인천도시가스,34590
347,일정실업,8500
348,종근당홀딩스,1630
349,지엠비코리아,13870
350,진원생명과학,11000
351,케이씨텍,281820
352,코리아써키트,7810
353,코스모화학,5420
354,코아스,71950
355,코오롱플라스틱,138490
356,쿠쿠홀딩스,192400
357,큐로,15590
358,티비에이치글로벌,84870
359,하이트론씨스템즈,19490
360,하이트진로,80
361,한국금융지주,71050
362,한국전자홀딩스,6200
363,한국타이어앤테크놀로지,161390
364,한국테크놀로지그룹,240
365,한국토지신탁,34830
366,한국특수형강,7280
367,한일시멘트,300720
368,한전KPS,51600
369,해태제과식품,101530
370,현대에너지솔루션,322000
371,현대에이치씨엔,126560
372,현대위아,11210
373,현대코퍼레이션홀딩스,227840
374,화승인더스트리,6060
375,화천기공,850
376,환인제약,16580
377,효성,4800
378,효성화학,298000
379,흥아해운,3280
380,APS홀딩스,54620
381,CJ ENM,35760
382,CMG제약,58820
383,CS,65770
384,CSA 코스믹,83660
385,EG,37370
386,HRS,36640
387,MP그룹,65150
388,NICE평가정보,30190
389,PI첨단소재,178920
390,PN풍년,24940
391,SCI평가정보,36120
392,SM C&C,48550
393,감마누,192410
394,강스템바이오텍,217730
395,게임빌,63080
396,경남제약헬스케어,223310
397,광림,14200
398,국영지앤엠,6050
399,나노엔텍,39860
400,나이벡,138610
401,남화토건,91590
402,네오팜,92730
403,넥스턴,89140
404,넵튠,217270
405,노바렉스,194700
406,누리텔레콤,40160
407,뉴파워프라즈마,144960
408,대성파인텍,104040
409,대아티아이,45390
410,대주전자재료,78600
411,대창솔루션,96350
412,덕산네오룩스,213420
413,데브시스터즈,194480
414,동아엘텍,88130
415,디알텍,214680
416,디엠티,134580
417,딜리,131180
418,라이브플렉스,50120
419,럭슬,33600
420,레드캡투어,38390
421,레이언스,228850
422,로보로보,215100
423,머큐리,100590
424,메디앙스,14100
425,메디포럼제약,47920
426,메타바이오메드,59210
427,멕아이씨에스,58110
428,모두투어,80160
429,무림SP,1810
430,미래에셋대우스팩3호,328380
431,미래에셋벤처투자,100790
432,미코,59090
433,버킷스튜디오,66410
434,부스타,8470
435,비덴트,121800
436,비즈니스온,138580
437,비트컴퓨터,32850
438,사람인에이치알,143240
439,삼강엠앤티,100090
440,삼륭물산,14970
441,삼양옵틱스,225190
442,삼영이엔씨,65570
443,삼일,32280
444,삼일기업공사,2290
445,삼지전자,37460
446,삼진,32750
447,삼화네트웍스,46390
448,상보,27580
449,상신이디피,91580
450,서린바이오,38070
451,서울바이오시스,92190
452,서호전기,65710
453,성우테크론,45300
454,성우하이텍,15750
455,세경하이테크,148150
456,세명전기,17510
457,셀바스AI,108860
458,손오공,66910
459,솔루에타,154040
460,수성,84180
461,슈펙스비앤피,58530
462,슈프리마,236200
463,신라에스지,25870
464,신라젠,215600
465,신영스팩5호,323280
466,신한제4호스팩,277480
467,신한제6호스팩,333050
468,아가방컴퍼니,13990
469,아모텍,52710
470,아미코젠,92040
471,아이에이,38880
472,아이에이네트웍스,123010
473,아이오케이,78860
474,아이톡시,52770
475,액트로,290740
476,앱클론,174900
477,에스에스알,275630
478,에스제이그룹,306040
479,에스제이케이,80440
480,에스티팜,237690
481,에이앤티앤,50320
482,에이치엘비,28300
483,에이프런티어,36180
484,에이프로,262260
485,에프알텍,73540
486,에프에스티,36810
487,엑스큐어,70300
488,엔시트론,101400
489,엔에이치스팩12호,273060
490,엔에이치스팩14호,319400
491,엔지켐생명과학,183490
492,연우,115960
493,영신금속,7530
494,예림당,36000
495,오르비텍,46120
496,오성첨단소재,52420
497,오션브릿지,241790
498,우리손에프앤지,73560
499,우수AMS,66590
500,원일특강,12620
501,위더스제약,330350
502,윈하이텍,192390
503,윌링스,313760
504,유니테스트,86390
505,유안타제6호스팩,340360
506,육일씨엔에쓰,191410
507,이글루시큐리티,67920
508,이글벳,44960
509,이녹스,88390
510,이랜시스,264850
511,이베스트스팩5호,349720
512,이에스에이,52190
513,이엠앤아이,83470
514,이엠텍,91120
515,이즈미디어,181340
516,이지케어텍,99750
517,인선이엔티,60150
518,인포마크,175140
519,인포바인,115310
520,인포뱅크,39290
521,잉크테크,49550
522,전진바이오팜,110020
523,정다운,208140
524,제이스텍,90470
525,제일바이오,52670
526,젬백스지오,41590
527,줌인터넷,239340
528,지니뮤직,43610
529,지니언스,263860
530,지란지교시큐리티,208350
531,지스마트글로벌,114570
532,참좋은여행,94850
533,천보,278280
534,케이비제19호스팩,330990
535,케이씨피드,25880
536,케이엔더블유,105330
537,코너스톤네트웍스,33110
538,코데즈컴바인,47770
539,코메론,49430
540,코미팜,41960
541,코아시아,45970
542,코오롱생명과학,102940
543,코웰패션,33290
544,코위버,56360
545,콜마비앤에이치,200130
546,큐브엔터,182360
547,크로바하이텍,43590
548,클리오,237880
549,키움제5호스팩,311270
550,테고사이언스,191420
551,테라사이언스,73640
552,테스나,131970
553,티에스아이,277880
554,파루,43200
555,파멥신,208340
556,파수,150900
557,파워로직스,47310
558,파인디지털,38950
559,팬엔터테인먼트,68050
560,펌텍코리아,251970
561,풍강,93380
562,플레이디,237820
563,피에스텍,2230
564,하나마이크론,67310
565,한국경제TV,39340
566,한국바이오젠,318000
567,한국비엔씨,256840
568,한국아트라스비엑스,23890
569,한국알콜,17890
570,한국정보인증,53300
571,한국정보통신,25770
572,한국팩키지,37230
573,한글과컴퓨터,30520
574,한일단조,24740
575,한컴위드,54920
576,한탑,2680
577,해마로푸드서비스,220630
578,현진소재,53660
579,휴네시온,290270
580,휴맥스홀딩스,28080
581,흥국에프엔비,189980
582,KC산업,112190
583,SGA임베디드,224880
584,구스앤홈,329050
585,노드메이슨,317860
586,노브메타파마,229500
587,대주이엔티,114920
588,듀켐바이오,176750
589,디피코,163430
590,래몽래인,200350
591,로보쓰리,238500
592,미애부,225850
593,바이오시네틱스,281310
594,바이오인프라생명과학,266470
595,바이옵트로,222160
596,비플라이소프트,148780
597,썬테크,217320
598,앙츠,267810
599,에이치엔에스하이텍,44990
600,오션스톤,329020
601,이노벡스,279060
602,테크엔,308700
603,테크트랜스,258050
604,티케이씨,191600
605,틸론,217880
606,휴럼,284420
607,AJ네트웍스,95570
608,CJ,1040
609,CJ제일제당,97950
610,DRB동일,4840
611,HDC아이콘트롤스,39570
612,KPX케미칼,25000
613,KTis,58860
614,LG상사,1120
615,MH에탄올,23150
616,SBS,34120
617,SBS미디어홀딩스,101060
618,SK텔레콤,17670
619,강원랜드,35250
620,교보증권,30610
621,금양,1570
622,금호에이치티,214330
623,남해화학,25860
624,넥센타이어,2350
625,녹십자홀딩스,5250
626,농심홀딩스,72710
627,다스코,58730
628,대림건설,1880
629,대웅제약,69620
630,대한유화,6650
631,더존비즈온,12510
632,덕성,4830
633,동방아그로,7590
634,동서,26960
635,동성코퍼레이션,102260
636,동양,1520
637,동양생명,82640
638,동원산업,6040
639,두산퓨얼셀,336260
640,드림텍,192650
641,디아이,3160
642,디와이,13570
643,디피씨,26890
644,롯데정밀화학,4000
645,롯데정보통신,286940
646,맥쿼리인프라,88980
647,메타랩스,90370
648,명문제약,17180
649,모토닉,9680
650,미원화학,134380
651,범양건영,2410
652,베트남개발1,96300
653,빙그레,5180
654,삼성에스디에스,18260
655,삼성중공업,10140
656,삼성증권,16360
657,삼성카드,29780
658,삼양통상,2170
659,삼영무역,2810
660,삼정펄프,9770
661,샘표식품,248170
662,서연이화,200880
663,성보화학,3080
664,세아제강,306200
665,센트랄모텍,308170
666,송원산업,4430
667,신성이엔지,11930
668,신세계인터내셔날,31430
669,신세계푸드,31440
670,신화실업,1770
671,쌍용자동차,3620
672,아세아시멘트,183190
673,애경산업,18250
674,엔에이치엔,181710
675,유니켐,11330
676,유화증권,3460
677,이구산업,25820
678,이월드,84680
679,이지스밸류플러스리츠,334890
680,일성신약,3120
681,제이에스코퍼레이션,194370
682,조비,1550
683,조선선재,120030
684,종근당바이오,63160
685,진양화학,51630
686,청호컴넷,12600
687,케이탑리츠,145270
688,코스모신소재,5070
689,코웨이,21240
690,쿠쿠홈시스,284740
691,키위미디어그룹,12170
692,태평양물산,7980
693,테이팩스,55490
694,텔코웨어,78000
695,팜스코,36580
696,퍼시스,16800
697,포스코케미칼,3670
698,풍산홀딩스,5810
699,하이스틸,71090
700,한국석유공업,4090
701,한국수출포장공업,2200
702,한국자산신탁,123890
703,한국주강,25890
704,한국콜마홀딩스,24720
705,한샘,9240
706,한솔홀딩스,4150
707,한신기계공업,11700
708,한화에어로스페이스,12450
709,현대자동차,5380
710,효성 ITX,94280
711,휴니드테크놀러지스,5870
712,DB금융스팩7호,322780
713,IBKS제10호스팩,299170
714,JTC,950170
715,KCC건설,21320
716,KCI,36670
717,KG ETS,151860
718,KMH,122450
719,NEW,160550
720,SBI핀테크솔루션즈,950110
721,SGA솔루션즈,184230
722,SM Life Design,63440
